# MBQI instance census — 209 rows, guard 90 s, adsmtc `bb02d18ca68b`
# (oxiz 85b2018 = 5cbff16 + OXIZ_MBQI_ROUND_DBG), 2026-08-17, idle machine.
#
# The calibration behind `SolverConfig::mbqi_instance_budget`. `max_inst`
# is the largest accumulated instance count any MBQI episode of that row
# reached; a row that never enters the MBQI loop reports 0.
#
#   class              rows   MBQI-using   max instances
#   verified            174           81           1,554  (seq-vstd-1/ob08)
#   unknown-or-bail      35           35          74,199  (datatypes-match-2/ob05)
#
# No currently-verified row reaches 2,000. That is what makes a budget
# there provably non-regressing rather than hopefully so.
row	verdict	rc	wall_ms	rounds	max_inst	max_terms
datatypes-match-1/ob01	unsat	0	756	2	16	504870
datatypes-match-1/ob02	unsat	0	10	0	0	0
datatypes-match-1/ob03	unknown	0	1895	6	77	444880
datatypes-match-1/ob04	unsat	0	20	0	0	0
datatypes-match-1/ob05	unsat	0	1462	4	19	505330
datatypes-match-1/ob06	unsat	0	20	0	0	0
datatypes-match-1/ob07	unsat	0	530	2	12	405223
datatypes-match-1/ob08	unsat	0	3128	5	422	865462
datatypes-match-1/ob09	unsat	0	18	0	0	0
datatypes-match-1/ob10	unsat	0	549	2	10	397176
datatypes-match-1/ob11	unsat	0	10	0	0	0
datatypes-match-2/ob01	unsat	0	811	2	29	538249
datatypes-match-2/ob02	unsat	0	20	0	0	0
datatypes-match-2/ob03	-	0	90486	8	73580	1845812
datatypes-match-2/ob04	unsat	0	15	0	0	0
datatypes-match-2/ob05	-	0	90502	8	74199	1855128
datatypes-match-2/ob06	unsat	0	19	0	0	0
datatypes-match-2/ob07	unsat	0	1434	3	41	598473
datatypes-match-2/ob08	unsat	0	994	2	28	541647
datatypes-match-2/ob09	unsat	0	21	0	0	0
datatypes-match-3/ob01	unsat	0	3496	5	1042	622296
datatypes-match-3/ob02	unsat	0	20	0	0	0
datatypes-match-3/ob03	unsat	0	3675	4	1146	677585
datatypes-match-3/ob04	unsat	0	21	0	0	0
datatypes-match-3/ob05	-	0	90108	5	6853	646339
datatypes-match-3/ob06	unsat	0	13	0	0	0
datatypes-match-3/ob07	-	0	90099	8	72582	2615348
datatypes-match-3/ob08	unsat	0	12	0	0	0
datatypes-match-3/ob09	-	0	90073	7	1992	877878
datatypes-match-3/ob10	unsat	0	13	0	0	0
datatypes-match-3/ob11	-	0	90042	9	1638	1192320
datatypes-match-3/ob12	unsat	0	24	0	0	0
datatypes-match-3/ob13	-	0	90071	7	4077	1385881
datatypes-match-3/ob14	unsat	0	13	0	0	0
datatypes-match-3/ob15	unsat	0	497	1	22	493419
datatypes-match-3/ob16	unsat	0	20	0	0	0
divmod-real-1/ob01	-	0	90124	18	866	1309937
divmod-real-1/ob02	unsat	0	18	0	0	0
divmod-real-1/ob03	unsat	0	561	1	17	524181
divmod-real-1/ob04	unsat	0	607	1	12	552302
divmod-real-1/ob05	unsat	0	18	0	0	0
divmod-real-1/ob06	-	0	90066	10	479	1139141
divmod-real-1/ob07	unsat	0	12	0	0	0
divmod-real-1/ob08	unsat	0	965	2	33	639484
divmod-real-1/ob09	unsat	0	17	0	0	0
divmod-real-1/ob10	unsat	0	10	0	0	0
divmod-real-2/ob01	unknown	0	7874	12	240	804374
divmod-real-2/ob02	unsat	0	10	0	0	0
divmod-real-2/ob03	unknown	0	7572	12	222	760284
divmod-real-2/ob04	unsat	0	11	0	0	0
divmod-real-2/ob05	unsat	0	17662	13	644	1202757
divmod-real-2/ob06	unsat	0	11	0	0	0
divmod-real-2/ob07	unsat	0	886	2	23	690770
divmod-real-2/ob08	unsat	0	878	2	15	523711
divmod-real-2/ob09	unsat	0	608	1	20	564464
divmod-real-2/ob10	unsat	0	17	0	0	0
divmod-real-3/ob01	unsat	0	348	1	8	447528
divmod-real-3/ob02	unsat	0	22	0	0	0
divmod-real-3/ob03	unsat	0	446	1	9	471845
divmod-real-3/ob04	unsat	0	915	2	19	530206
divmod-real-3/ob05	unsat	0	479	1	10	528850
divmod-real-3/ob06	-	0	90119	8	4086	1837822
divmod-real-3/ob07	unsat	0	11	0	0	0
divmod-real-3/ob08	unsat	0	10	0	0	0
fuel-recursion-1/ob01	unsat	0	801	2	28	513186
fuel-recursion-1/ob02	unsat	0	17	0	0	0
fuel-recursion-1/ob03	unsat	0	731	3	16	429066
fuel-recursion-1/ob04	unsat	0	2843	4	77	929879
fuel-recursion-1/ob05	unsat	0	17	0	0	0
fuel-recursion-1/ob06	unsat	0	6842	9	380	867705
fuel-recursion-1/ob07	unsat	0	17	0	0	0
fuel-recursion-1/ob08	unsat	0	1590	4	91	725838
fuel-recursion-1/ob09	unsat	0	18	0	0	0
fuel-recursion-1/ob10	unsat	0	2866	6	60	851114
fuel-recursion-1/ob11	unsat	0	17	0	0	0
fuel-recursion-1/ob12	unsat	0	1964	4	90	738174
fuel-recursion-1/ob13	unsat	0	18	0	0	0
fuel-recursion-1/ob14	unsat	0	10	0	0	0
fuel-recursion-2/ob01	unsat	0	545	1	17	461110
fuel-recursion-2/ob02	unsat	0	16	0	0	0
fuel-recursion-2/ob03	unsat	0	517	1	18	461202
fuel-recursion-2/ob04	unsat	0	17	0	0	0
fuel-recursion-2/ob05	unsat	0	786	2	35	512543
fuel-recursion-2/ob06	unsat	0	17	0	0	0
fuel-recursion-2/ob07	unsat	0	42187	8	550	893661
fuel-recursion-2/ob08	unsat	0	11	0	0	0
fuel-recursion-2/ob09	unsat	0	7159	6	673	887542
fuel-recursion-2/ob10	unsat	0	11	0	0	0
fuel-recursion-2/ob11	unsat	0	8237	6	682	888910
fuel-recursion-2/ob12	unsat	0	18	0	0	0
fuel-recursion-2/ob13	unsat	0	5093	6	470	867100
fuel-recursion-2/ob14	unsat	0	19	0	0	0
fuel-recursion-2/ob15	unsat	0	572	2	24	442929
fuel-recursion-2/ob16	unsat	0	18	0	0	0
fuel-recursion-3/ob01	unsat	0	721	1	23	472342
fuel-recursion-3/ob02	unsat	0	18	0	0	0
fuel-recursion-3/ob03	unsat	0	525	1	15	460066
fuel-recursion-3/ob04	unsat	0	17	0	0	0
fuel-recursion-3/ob05	unsat	0	524	1	15	460065
fuel-recursion-3/ob06	unsat	0	9	0	0	0
fuel-recursion-3/ob07	unsat	0	4136	4	92	900779
fuel-recursion-3/ob08	unsat	0	1868	4	96	952640
fuel-recursion-3/ob09	unsat	0	19	0	0	0
