# Phase 1a' — native-only verdicts on the 209-row lukb corpus
#
# Pipeline: .lukb -> adsmt-ir-lukb::elaborate -> kernel Env
#           -> adsmt-ir-lower::lower -> adsmt-engine::Solver
# NO delegation anywhere. Driver: adsmt-ir-lukb/examples/lukb_solve.rs
# Measured 2026-08-30 against corpus-2026-07-04-lukb-per-obligation.
#
#                    native unsat   native unknown
#   delegation verified      90              81
#   delegation NOT verified   0              38
#
# 90 of the 171 delegation-verified rows (53%) need no delegation at all.
# ZERO rows where native claims unsat and delegation does not — native is
# a strict subset, so this sweep surfaces no native false-UNSAT candidate.
#
# Every one of the 209 rows PARSES and ELABORATES (209/209 both), so the
# 119 unknowns are all engine abstains, not face or lowering gaps.
row	native	stage
abduct-boolean/ob01	unknown	engine abstained
abduct-boolean/ob02	unsat	verified natively
abduct-eq-vars/ob01	unknown	engine abstained
abduct-eq-vars/ob02	unsat	verified natively
abduct-eq-zero/ob01	unknown	engine abstained
abduct-eq-zero/ob02	unsat	verified natively
abduct-negativity/ob01	unknown	engine abstained
abduct-negativity/ob02	unsat	verified natively
abduct-pred/ob01	unknown	engine abstained
abduct-pred/ob02	unsat	verified natively
abduct-relational/ob01	unknown	engine abstained
abduct-relational/ob02	unsat	verified natively
abduct-sign/ob01	unknown	engine abstained
abduct-sign/ob02	unsat	verified natively
abduct-spec-len/ob01	unknown	engine abstained
abduct-spec-len/ob02	unsat	verified natively
datatypes-match-1/ob01	unknown	engine abstained
datatypes-match-1/ob02	unsat	verified natively
datatypes-match-1/ob03	unknown	engine abstained
datatypes-match-1/ob04	unsat	verified natively
datatypes-match-1/ob05	unknown	engine abstained
datatypes-match-1/ob06	unsat	verified natively
datatypes-match-1/ob07	unknown	engine abstained
datatypes-match-1/ob08	unknown	engine abstained
datatypes-match-1/ob09	unsat	verified natively
datatypes-match-1/ob10	unknown	engine abstained
datatypes-match-1/ob11	unsat	verified natively
datatypes-match-2/ob01	unknown	engine abstained
datatypes-match-2/ob02	unsat	verified natively
datatypes-match-2/ob03	unknown	engine abstained
datatypes-match-2/ob04	unsat	verified natively
datatypes-match-2/ob05	unknown	engine abstained
datatypes-match-2/ob06	unsat	verified natively
datatypes-match-2/ob07	unknown	engine abstained
datatypes-match-2/ob08	unknown	engine abstained
datatypes-match-2/ob09	unsat	verified natively
datatypes-match-3/ob01	unknown	engine abstained
datatypes-match-3/ob02	unsat	verified natively
datatypes-match-3/ob03	unknown	engine abstained
datatypes-match-3/ob04	unsat	verified natively
datatypes-match-3/ob05	unknown	engine abstained
datatypes-match-3/ob06	unsat	verified natively
datatypes-match-3/ob07	unknown	engine abstained
datatypes-match-3/ob08	unsat	verified natively
datatypes-match-3/ob09	unknown	engine abstained
datatypes-match-3/ob10	unsat	verified natively
datatypes-match-3/ob11	unknown	engine abstained
datatypes-match-3/ob12	unsat	verified natively
datatypes-match-3/ob13	unknown	engine abstained
datatypes-match-3/ob14	unsat	verified natively
datatypes-match-3/ob15	unknown	engine abstained
datatypes-match-3/ob16	unsat	verified natively
diff/ob01	unknown	engine abstained
diff/ob02	unknown	engine abstained
diff/ob03	unsat	verified natively
divmod-real-1/ob01	unknown	engine abstained
divmod-real-1/ob02	unsat	verified natively
divmod-real-1/ob03	unknown	engine abstained
divmod-real-1/ob04	unknown	engine abstained
divmod-real-1/ob05	unsat	verified natively
divmod-real-1/ob06	unknown	engine abstained
divmod-real-1/ob07	unsat	verified natively
divmod-real-1/ob08	unknown	engine abstained
divmod-real-1/ob09	unsat	verified natively
divmod-real-1/ob10	unsat	verified natively
divmod-real-2/ob01	unknown	engine abstained
divmod-real-2/ob02	unsat	verified natively
divmod-real-2/ob03	unknown	engine abstained
divmod-real-2/ob04	unsat	verified natively
divmod-real-2/ob05	unknown	engine abstained
divmod-real-2/ob06	unsat	verified natively
divmod-real-2/ob07	unknown	engine abstained
divmod-real-2/ob08	unknown	engine abstained
divmod-real-2/ob09	unknown	engine abstained
divmod-real-2/ob10	unsat	verified natively
divmod-real-3/ob01	unknown	engine abstained
divmod-real-3/ob02	unknown	engine abstained
divmod-real-3/ob03	unknown	engine abstained
divmod-real-3/ob04	unknown	engine abstained
divmod-real-3/ob05	unknown	engine abstained
divmod-real-3/ob06	unknown	engine abstained
divmod-real-3/ob07	unsat	verified natively
divmod-real-3/ob08	unsat	verified natively
error-disequality/ob01	unknown	engine abstained
error-disequality/ob02	unsat	verified natively
fuel-recursion-1/ob01	unknown	engine abstained
fuel-recursion-1/ob02	unsat	verified natively
fuel-recursion-1/ob03	unknown	engine abstained
fuel-recursion-1/ob04	unknown	engine abstained
fuel-recursion-1/ob05	unsat	verified natively
fuel-recursion-1/ob06	unknown	engine abstained
fuel-recursion-1/ob07	unsat	verified natively
fuel-recursion-1/ob08	unknown	engine abstained
fuel-recursion-1/ob09	unsat	verified natively
fuel-recursion-1/ob10	unknown	engine abstained
fuel-recursion-1/ob11	unsat	verified natively
fuel-recursion-1/ob12	unknown	engine abstained
fuel-recursion-1/ob13	unsat	verified natively
fuel-recursion-1/ob14	unsat	verified natively
fuel-recursion-2/ob01	unknown	engine abstained
fuel-recursion-2/ob02	unsat	verified natively
fuel-recursion-2/ob03	unknown	engine abstained
fuel-recursion-2/ob04	unsat	verified natively
